"key","names","color","order"
"coffee","Coffee","#7f7f7f","1"
"drinks","Pubs, Lounges","#7f7f7f","2"
"bubbletea","Bubble Tea, Juice","#7f7f7f","3"
"vietnamese","Vietnamese","#1f77b4","4"
"thai","Thai","#1f77b4","5"
"chinese","Chinese","#1f77b4","6"
"japanese","Japanese","#1f77b4","7"
"korean","Korean","#1f77b4","8"
"mideastern","Middle Eastern","#2ca02c","9"
"indian","Indian, Pakistani","#2ca02c","10"
"burgers","Pizza","#ff7f0e","11"
"pizza","Burgers","#ff7f0e","12"
"american","American","#ff7f0e","13"
"breakfast","Breakfast, Brunch","#8c564b","14"
"bakeries","Bakeries","#8c564b","15"
"seafood","Seafood","#e377c2","16"
"hawaiian","Hawaiian","#e377c2","17"
"veg","Vegetarian, Vegan","#bcbd22","18"
"latin","Mexican, Latin American","#17becf","19"
