close,date,high,low,open,ret,signal,c
30.04,2009-06-01,30.05,28.45,28.7,-4.89396411092985,short,green
29.63,2009-06-02,30.13,28.3,30.04,-0.322580645161295,short,red
31.02,2009-06-03,31.79,29.62,29.62,3.68663594470045,short,green
30.18,2009-06-04,31.02,29.92,31.02,4.51010886469673,short,red
29.62,2009-06-05,30.81,28.85,29.39,6.08424336973478,short,green
29.77,2009-06-08,31.82,26.41,30.84,1.2539184952978,short,red
28.27,2009-06-09,29.77,27.79,29.77,-5.02431118314424,short,red
28.46,2009-06-10,29.74,26.9,26.9,-5.46623794212217,short,green
28.11,2009-06-11,28.11,26.81,27.36,-8.3743842364532,short,green
28.15,2009-06-12,28.5,27.73,28.08,-5.52763819095477,short,green
30.81,2009-06-15,31.09,29.64,29.7,3.4920634920635,long,green
32.68,2009-06-16,32.75,30.07,30.81,0.155038759689914,short,green
31.54,2009-06-17,32.77,30.64,31.19,5.82822085889571,short,green
30.03,2009-06-18,31.54,29.6,31.54,8.17610062893082,short,red
27.99,2009-06-19,29.32,27.56,29.16,8.59872611464968,short,red
31.17,2009-06-22,32.05,30.3,30.4,15.4907975460123,short,green
30.58,2009-06-23,31.54,27.83,31.3,11.7370892018779,short,red
29.05,2009-06-24,30.58,28.79,30.58,-10.4234527687296,long,red
26.36,2009-06-25,29.56,26.3,29.45,0.0,long,red
25.93,2009-06-26,27.22,25.76,27.09,0.0,long,red
25.35,2009-06-29,27.18,25.29,25.93,5.26315789473684,long,red
26.35,2009-06-30,27.38,25.02,25.36,6.73758865248228,long,green
26.22,2009-07-01,26.31,24.8,25.73,7.83645655877341,long,green
27.95,2009-07-02,28.62,26.22,26.22,2.76422764227643,long,green
29.0,2009-07-06,30.6,28.99,30.32,-2.14521452145214,short,red
30.85,2009-07-07,30.94,28.9,29.0,3.03514376996805,short,green
31.3,2009-07-08,33.05,30.43,30.85,5.68720379146919,short,green
29.78,2009-07-09,30.49,29.28,30.23,8.22784810126583,short,red
29.02,2009-07-10,30.34,28.82,29.78,8.64779874213836,short,red
26.31,2009-07-13,29.24,25.42,28.36,7.32899022801303,short,red
25.02,2009-07-14,26.84,24.99,26.31,7.30897009966778,short,red
25.89,2009-07-15,26.06,23.83,25.05,0.0,neutral,green
25.42,2009-07-16,26.18,24.51,25.96,-9.82758620689656,long,red
24.34,2009-07-17,25.55,23.88,25.42,-10.8433734939759,long,red
24.4,2009-07-20,25.42,24.26,25.06,-7.55711775043936,long,red
23.87,2009-07-21,25.14,23.81,24.28,-2.5089605734767,long,red
23.47,2009-07-22,24.14,23.24,24.05,0.915750915750916,long,red
23.43,2009-07-23,24.05,23.21,23.71,2.47148288973383,long,red
23.09,2009-07-24,23.87,23.0,23.87,4.22264875239922,long,red
24.28,2009-07-27,24.86,24.02,24.06,-0.189393939393929,long,green
25.01,2009-07-28,25.61,24.28,24.28,-4.37956204379562,long,green
25.61,2009-07-29,26.18,25.41,25.47,-4.48504983388705,long,green
25.4,2009-07-30,25.76,24.85,25.4,-1.70357751277683,long,red
25.92,2009-07-31,26.22,24.93,25.4,5.06756756756757,short,green
